Year;Name;Total;Gender
2015;Freja;459;F
2015;Ella;449;F
2015;Alma;445;F
2015;Anna;419;F
2015;Emma;415;F
2015;Laura;412;F
2015;William;591;M
2015;Noah;543;M
2015;Lucas;534;M
2015;Emil;489;M
2015;Oliver;489;M
2015;Oscar;480;M
2015;Victor;478;M
2015;Malthe;455;M
2015;Alfred;425;M
2015;Carl;418;M
2015;Frederik;405;M
2016;Sofia;480;F
2016;Alma;447;F
2016;Emma;439;F
2016;Ella;438;F
2016;Ida;428;F
2016;Freja;427;F
2016;Clara;426;F
2016;Anna;402;F
2016;Noah;538;M
2016;Victor;531;M
2016;Oliver;523;M
2016;Oscar;521;M
2016;William;520;M
2016;Lucas;509;M
2016;Carl;483;M
2016;Malthe;451;M
2016;Emil;445;M
2016;Alfred;433;M
2017;Ida;486;F
2017;Emma;471;F
2017;Sofia;464;F
2017;Ella;413;F
2017;Freja;411;F
2017;Josefine;406;F
2017;William;565;M
2017;Noah;495;M
2017;Oscar;486;M
2017;Lucas;475;M
2017;Carl;473;M
2017;Oliver;455;M
2017;Victor;455;M
2017;Alfred;444;M
2017;Malthe;439;M
2017;Emil;434;M
2017;Valdemar;401;M
2018;Ida;456;F
2018;Emma;453;F
2018;Alma;437;F
2018;Ella;437;F
2018;Sofia;423;F
2018;Freja;417;F
2018;Josefine;411;F
2018;William;600;M
2018;Noah;528;M
2018;Oscar;506;M
2018;Lucas;495;M
2018;Victor;489;M
2018;Malthe;482;M
2018;Oliver;468;M
2018;Alfred;467;M
2018;Carl;463;M
2018;Valdemar;400;M
2019;Emma;486;F
2019;Alma;453;F
2019;Clara;438;F
2019;Freja;438;F
2019;Sofia;434;F
2019;Karla;403;F
2019;William;568;M
2019;Alfred;523;M
2019;Oscar;514;M
2019;Noah;484;M
2019;Karl;477;M
2019;Lucas;455;M
2019;Oliver;454;M
2019;Arthur;448;M
2019;August;433;M
2019;Malthe;426;M
2019;Valdemar;418;M
2019;Emil;407;M
2020;Alma;514;F
2020;Agnes;456;F
2020;Ella;448;F
2020;Freja;439;F
2020;Clara;432;F
2020;Emma;432;F
2020;Sofia;423;F
2020;Alfred;520;M
2020;Oscar;516;M
2020;Carl;503;M
2020;Noah;503;M
2020;William;497;M
2020;Oliver;463;M
2020;Aksel;454;M
2020;Arthur;453;M
2020;Valdemar;432;M
2020;Lucas;429;M
2020;Malthe;422;M
2020;Emil;413;M
2020;August;400;M
2021;Alma;482;F
2021;Ida;474;F
2021;Clara;437;F
2021;Ella;436;F
2021;Olivia;428;F
2021;Freja;425;F
2021;Emma;420;F
2021;Luna;411;F
2021;Agnes;410;F
2021;Oscar;562;M
2021;Karl;555;M
2021;William;520;M
2021;Oliver;494;M
2021;Alfred;470;M
2021;August;462;M
2021;Valdemar;458;M
2021;Malthe;452;M
2021;Arthur;451;M
2021;Emil;447;M
2021;Lucas;439;M
2021;Aksel;435;M
2021;Noah;427;M
2022;Ella;442;F
2022;Freja;413;F
2022;Alma;409;F
2022;Frida;403;F
2022;William;560;M
2022;Karl;466;M
2022;Emil;459;M
2022;Oscar;455;M
2022;Malthe;452;M
2022;Noah;446;M
2022;Valdemar;432;M
2022;Aksel;428;M
